48720,Mount & Blade: With Fire & Sword,11
427730,Who's Your Daddy?!,11
228300,Remember Me,11
8500,EVE Online,11
108710,Alan Wake,11
215470,Primal Carnage,11
230840,Daylight,10
409720,BioShock™ 2 Remastered,10
301910,Saints Row: Gat out of Hell,10
55110,Red Faction®: Armageddon™,10
318220,Enforcer: Police Crime Action,10
236150,Starpoint Gemini 2,10
238240,Edge of Space,10
24960,Battlefield: Bad Company™ 2,10
15100,Assassin's Creed™: Director's Cut Edition,10
334040,Down To One,10
261760,Lichdom: Battlemage,10
287290,Resident Evil Revelations 2,10
6550,Devil May Cry® 3 Special Edition,9
41070,Serious Sam 3: BFE,9
238320,Outlast,9
339280,Strife®,9
386070,Planetary Annihilation: TITANS,9
16730,Legendary,9
234190,Receiver,9
204360,Castle Crashers®,9
242700,Injustice: Gods Among Us Ultimate Edition,9
275490,Canyon Capers,9
427270,Orcs Must Die! Unchained,9
298240,War Trigger 3,9
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,9
214490,Alien: Isolation,9
48700,Mount & Blade: Warband,9
287920,Mortal Online,9
233270,Far Cry 3 - Blood Dragon,9
19680,Alice: Madness Returns,9
240320,Panzar,9
205100,Dishonored,9
111900,Guardians of Middle-earth,9
17410,Mirror's Edge™,8
48000,LIMBO,8
322170,Geometry Dash,8
324810,TOXIKK™,8
245170,Skullgirls 2nd Encore,8
317470,Cubic Castles,8
225600,Blade Symphony,8
367500,Dragon's Dogma: Dark Arisen,8
13140,America's Army 3,8
50620,Darksiders™,8
255070,Abyss Odyssey,8
412400,GASP,8
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,8
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,8
338540,Navy Field 2 : Conqueror of the Ocean,8
211160,Viking: Battle for Asgard,8
237310,Elsword,8
212800,Super Crate Box,7
7940,Call of Duty® 4: Modern Warfare®,7
321360,Primal Carnage: Extinction,7
8850,BioShock® 2,7
454650,DRAGON BALL XENOVERSE 2,7
